"Wall Schedule"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Family"	"Base Constraint"	"Top Offset"	"Top Constraint"	"Unconnected Height"	"Volume"	"Area"	"Width"	"Length"	"Type"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.24 m³"	"2 m²"	"100"	"644"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.22 m³"	"7 m²"	"30"	"1593"	"-30"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.18 m³"	"2 m²"	"100"	"356"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.10 m³"	"1 m²"	"100"	"40"	"CG - 100"
"Basic Wall"	"G/F"	"0"	"Up to level: 1/F"	"9000"	"0.10 m³"	"1 m²"	"100"	"274"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: RF"	"22560"	"31.95 m³"	"160 m²"	"200"	"7300"	"CG - 200mm 3"
"Basic Wall"	"1/F"	"2500"	"Up to level: RF"	"25060"	"13.36 m³"	"67 m²"	"200"	"2664"	"CG - 200mm 3"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"7.84 m³"	"29 m²"	"270"	"7268"	"CG - 270"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"7.30 m³"	"30 m²"	"240"	"7483"	"CG - 240"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"7.01 m³"	"28 m²"	"250"	"7013"	"CG - 250"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"6.64 m³"	"28 m²"	"240"	"6737"	"CG - 240"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"6.02 m³"	"23 m²"	"260"	"5769"	"CG - 260"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"5.77 m³"	"23 m²"	"250"	"5895"	"CG - 250"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"5.52 m³"	"22 m²"	"250"	"5769"	"CG - 250"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"4.97 m³"	"50 m²"	"100"	"14924"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"4.67 m³"	"47 m²"	"100"	"13622"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"4.66 m³"	"47 m²"	"100"	"14377"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"4.45 m³"	"18 m²"	"250"	"4325"	"CG - 250"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"4.25 m³"	"21 m²"	"200"	"5218"	"CG - 200mm"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"4.00 m³"	"40 m²"	"100"	"12755"	"CG - 100"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"3.96 m³"	"16 m²"	"240"	"4646"	"CG - 240"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"3.72 m³"	"15 m²"	"240"	"3975"	"CG - 240"
"Basic Wall"	"1/F"	"0"	"Up to level: 2F"	"4000"	"3.25 m³"	"14 m²"	"225"	"3483"	"CG - 225"
